06/05/2016 18:22:04,109,Male,PhD student,Computer Science,6-10 years,More than 10 years,5-10 years,3-5,No,3,Rarely,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Nice to have,Nice to have,Nice to have,Nice to have,Important,Nice to have,Important,Nice to have,I think a simple text editor for building a unit test while waiting for the other player may be good.,Nope,Nope
06/05/2016 18:20:35,110,Male,PhD student,Computer Science,Less than 6 months,4 years,4 years,3-5,Yes,5,Often,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully disagree,Partially disagree,Fully agree,Neither agree nor disagree,Partially agree,Nice to have,Important,Important,Nice to have,Important,Irrelevant,Irrelevant,Nice to have,Code completion.,On a multi-player scenario a scoring system like the one used on chess (Elo rating system) could work better.,For a certain amount of points get an automatically generated test case which kills a particular mutant.
06/05/2016 18:17:44,111,Male,PhD student,Software Engineering,None,More than 10 years,5-10 years,5-10,Yes,5,Rarely,Partially agree,Fully agree,Fully disagree,Fully agree,Fully agree,Partially disagree,Fully disagree,Partially disagree,Fully agree,Partially agree,Important,Nice to have,Nice to have,Important,Important,Important,Nice to have,Important,"Better UX design, better colour highighting, etc.",allowing people to bet on scores,
06/05/2016 18:14:16,113,Male,PhD student,Software Engineering,1-2 years,5-10 years,5-10 years,3-5,Yes,4,Often,Partially agree,Fully agree,Partially agree,Fully agree,Fully agree,Neither agree nor disagree,Partially disagree,Fully agree,Partially agree,Fully agree,Irrelevant,Important,Nice to have,Important,Important,Nice to have,Nice to have,Nice to have,Interactive pages. Not remove errors,Not sure,More IDE like will be good such as synatx highliters and suggestion
06/05/2016 18:10:51,114,Male,PhD student,Computer Science,3-5 years,3 years,1 year or less,3-5,No,4,Rarely,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Nice to have,Important,Important,Nice to have,Nice to have,Important,Nice to have,Nice to have,"Right now I can think something about it, by the time being is good",No I do not.,Later would be nice to have like rooms where you can be playing different roles and play in different games at the same time. Mostly of the time is wasted waiting for the opponent write/change something
06/05/2016 18:14:02,115,Male,PhD student,Software Engineering,Less than 6 months,5-10 years,4 years,5-10,Yes,5,Often,Partially agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Fully agree,Neither agree nor disagree,Nice to have,Nice to have,Nice to have,Irrelevant,Nice to have,Irrelevant,Irrelevant,Irrelevant,,,"When scrolling through tests, the same test case would often be shown but with different test IDs."
06/05/2016 18:18:58,117,Male,Postdoc,Computer Science,3-5 years,More than 10 years,5-10 years,5-10,Yes,5,Occassionaly,Partially agree,Partially agree,Fully disagree,Fully agree,Partially agree,Partially agree,Fully disagree,Partially agree,Partially agree,Partially agree,Nice to have,Nice to have,Important,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,"Standard IDE features (autocomplete, code hints, JavaDoc)",Number of tests before a mutant gets killed divided size (in chars) of the diff,Allow users to write more than one tests while they wait - would make a cool code review tool to add to something like Gerrit
06/05/2016 18:13:57,118,Male,PhD student,Software Engineering,Less than 6 months,4 years,4 years,5-10,Yes,5,Often,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully disagree,Partially disagree,Fully agree,Fully agree,Fully agree,Nice to have,Important,Nice to have,Irrelevant,Nice to have,Irrelevant,Irrelevant,Irrelevant,"I think having 4 panels separates things nicely, but it sometimes can be confusing to have all the information displayed. Perhaps have selectors for which panels should be covered",I think it is at the moment a bit unclear what earns points. Point earning should refresh the page.,"It is too hard to claim equivalence in hard mode - I'm not sure on how to improve this, but only seeing the line change is not enough to determine equivalence even for a person. "
06/05/2016 18:11:14,119,Male,Staff,epiGenesys,6-10 years,More than 10 years,4 years,3-5,Yes,4,Occassionaly,Partially agree,Partially agree,Partially disagree,Fully agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully agree,Neither agree nor disagree,Nice to have,Nice to have,Nice to have,Nice to have,Important,Irrelevant,Important,Nice to have,The text editor sometimes doesn't work if you double click a line and try to paste in code,Explanation of the scoring system - it wasn't apparent what the scoring system was (presumably one point for each surving mutant per turn?),"A time limit per turn, so the game reverts back to the other player (or perhaps some way to ping the other player to take their turn)"
06/05/2016 18:13:29,120,Male,Graduate ,Computer Science,3-5 years,5-10 years,3 years,5-10,Yes,3,Often,Partially agree,Fully agree,Partially agree,Partially agree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Partially agree,Important,Irrelevant,Nice to have,Irrelevant,Irrelevant,Nice to have,Important,Nice to have,,,
06/05/2016 17:46:06,121,Male,2nd year undergraduate,Artificial Intelligence and Computer Science,Less than 6 months,5-10 years,2 years,More than 10,Yes,2,Rarely,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Partially agree,Important,Important,Nice to have,Nice to have,Irrelevant,Nice to have,Nice to have,Irrelevant,vim-like controls,"I'm not really sure how it's working or what's going on, so making it easier to see what's going on would help.","Allow the use of loops and more advanced programming features, perhaps with a time-out of some kind. This would make it significantly better."
06/05/2016 18:10:02,122,Male,2nd year undergraduate,Computer Science,None,5-10 years,2 years,5-10,Yes,2,Occassionaly,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Irrelevant,Important,Important,Nice to have,Important,Nice to have,Important,Nice to have,Leave errors open for longer / have a close button,Time based as well,Not really :)
06/05/2016 18:17:38,123,Male,2nd year undergraduate,Computer Science,None,4 years,3 years,3-5,Yes,4,Occassionaly,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Partially disagree,Fully disagree,Partially agree,Neither agree nor disagree,Nice to have,Nice to have,Nice to have,Important,Irrelevant,Nice to have,Important,Irrelevant,Error messages as to why your code didn't compile or didn't pass the tests should stay up longer and not disappear. Your code you write shouldn't suddenly disappear before a round starts. ,"Defenders should get more points for successful tests, as it is much harder.",
06/05/2016 18:06:36,124,Male,2nd year undergraduate,Computer Science,Less than 6 months,4 years,3 years,5-10,Yes,3,Rarely,Partially agree,Partially agree,Partially disagree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Nice to have,Nice to have,Important,Nice to have,Nice to have,Nice to have,Important,Nice to have,Keep the error up for longer when running defend with errors.,,
06/05/2016 18:11:11,125,Male,Master's student,Advanced Computer Science,3-5 years,2 years,1 year or less,3-5,Yes,4,Occassionaly,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Irrelevant,Irrelevant,Nice to have,Important,Nice to have,Irrelevant,Nice to have,Important,,,
06/05/2016 18:12:19,126,Male,Master's student,Advanced Computer Science,1-2 years,5-10 years,5-10 years,5-10,Yes,5,Occassionaly,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Fully disagree,Neither agree nor disagree,Partially agree,Nice to have,Nice to have,Important,Important,Important,Important,Important,Nice to have,Just in the interface's color should be darker than now,,
06/05/2016 18:16:34,127,Male,2nd year undergraduate,Computer Science,None,4 years,4 years,5-10,No,4,Rarely,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Nice to have,Important,Irrelevant,Nice to have,Nice to have,Nice to have,Irrelevant,Nice to have,no,fix bugs,fix bugs
06/05/2016 18:16:15,128,Male,2nd year undergraduate,Computer Science and Mathematics,None,4 years,1 year or less,3-5,Yes,5,Rarely,Partially agree,Fully agree,Partially disagree,Fully agree,Fully agree,Partially disagree,Fully agree,Fully disagree,Partially agree,Fully agree,Nice to have,Nice to have,Important,Important,Important,Irrelevant,Important,Nice to have,,,
06/05/2016 18:09:14,129,Male,2nd year undergraduate,Computer Science,Less than 6 months,3 years,2 years,3-5,No,3,Never,Fully agree,Fully agree,Partially disagree,Fully agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Fully agree,Nice to have,Important,Nice to have,Nice to have,Important,Important,Nice to have,Nice to have,"Make it more clear that the class under test is the original, working class.","Longer trials, more rounds?",
06/05/2016 18:11:30,130,Male,2nd year undergraduate,Computer Science,None,2 years,1 year or less,5-10,Yes,3,Occassionaly,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Nice to have,Irrelevant,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,"I think a more intuitive tutorial is required, explaining exactly ""what"" you're testing against, and how that relates to what's on screen. It was confusing at first when I didn't realise the code on the left was the source code, and that some anonymous change had been made to line 'x'. I think this needs to be made more obvious."
06/05/2016 18:11:57,131,Female,2nd year undergraduate,Computer Science,None,2 years,2 years,3-5,No,4,Never,Fully agree,Fully agree,Partially disagree,Fully agree,Partially disagree,Partially disagree,Partially disagree,Fully disagree,Partially disagree,Partially agree,Nice to have,Nice to have,Nice to have,Important,Important,Nice to have,Nice to have,Nice to have,,,Leaderboard would be nice to have to see all the code defenders who are undoubtedly worse than me.
06/05/2016 18:12:43,132,Female,2nd year undergraduate,Computer Science,Less than 6 months,2 years,2 years,3-5,Yes,4,Rarely,Partially agree,Neither agree nor disagree,Partially disagree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Important,Irrelevant,Important,Important,Important,Important,Important,Important,,,
06/05/2016 18:18:42,133,Male,2nd year undergraduate,Computer Science,None,2 years,2 years,5-10,No,5,Rarely,Partially agree,Fully agree,Partially disagree,Fully agree,Partially agree,Partially agree,Fully disagree,Neither agree nor disagree,Partially agree,Fully agree,Nice to have,Nice to have,Nice to have,Important,Nice to have,Important,Irrelevant,Irrelevant,Keep compile errors on screen.  Make code window larger vertically so more of the code can be seen at once.,"Make both users send a mutation, then both try and defend the other's mutation simultaneously. Extra points for faster beating of test/less tries.","Allow attackers to write a test that beats their mutation, if the defender can't defend within a certain number of tries/time limit, allow the attacker to submit their test and move on (not necessarily winning a point though)."
06/05/2016 18:17:11,134,Male,Master's student,Advanced Computer Science,6-10 years,5-10 years,3 years,More than 10,Yes,4,Rarely,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Partially disagree,Fully agree,Partially agree,Partially agree,Important,Nice to have,Important,Important,Important,Nice to have,Nice to have,Nice to have,,,
06/05/2016 18:16:39,135,Female,Master's student,Computer Science,None,3 years,3 years,3-5,Yes,2,Rarely,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Irrelevant,Nice to have,Important,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,
06/05/2016 18:15:34,136,Male,PhD student,Computer Science,1-2 years,5-10 years,5-10 years,5-10,Yes,5,Often,Partially agree,Fully agree,Partially agree,Fully agree,Partially disagree,Partially disagree,Partially agree,Partially disagree,Fully agree,Partially agree,Irrelevant,Nice to have,Nice to have,Nice to have,Important,Nice to have,Irrelevant,Irrelevant,"Add code completion, better highlight non-compiling code, make it clearer which parts of the JUnit test interface are editable","I'm not sure adding the number of all active mutants to the attacker's score is fair/leads to writing good unit tests. For example, let's say I've accumulated a few mutants that changed completly different parts of the code. As a defender, I'm then inclined to write one big unit test function that covers all those changes, which might be all over the code.","Why can I defend, even though there are no mutants alive? My previous tests killed the new mutant. That situation is not motivating me to write even more unit tests."
08/05/2016 23:02:25,137,Male,1st year undergraduate,Computer Science,Less than 6 months,3 years,1 year or less,5-10,Yes,2,Occassionaly,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Fully agree,Partially agree,Nice to have,Important,Important,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Highlight/(draw attention to) what's required to be read to effectively complete the round eg line that changed,,VIM mode && IDE features would be nice. Non-trivial to implement in a web browser I guess...
06/05/2016 18:16:18,138,Male,1st year undergraduate,Computer Science,None,2 years,1 year or less,3-5,Yes,2,Occassionaly,Fully agree,Partially disagree,Partially agree,Fully agree,Partially disagree,Partially agree,Partially disagree,Partially disagree,Partially agree,Partially agree,Important,Important,Nice to have,Irrelevant,Irrelevant,Nice to have,Irrelevant,Irrelevant,Auto-completion,More points for more complicated mutations,Option to run test case against original code without mutation to see if your test is at least initially right. This would make complicated classes easier to write tests for. At the moment it is hard to figure out if I have even understood the method correctly.
06/05/2016 18:13:03,139,Non-binary,1st year undergraduate,Computer Science,None,3 years,1 year or less,3-5,Yes,4,Occassionaly,Fully agree,Partially agree,Partially agree,Fully agree,Fully disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Fully agree,Nice to have,Important,Nice to have,Irrelevant,Irrelevant,Nice to have,Important,Nice to have,Looks good,Leaderboards would be cool.,
06/05/2016 18:15:45,140,Female,1st year undergraduate,Artificial Intelligence and Computer Science,None,4 years,1 year or less,3-5,Yes,4,Occassionaly,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Irrelevant,Nice to have,Nice to have,Irrelevant,Nice to have,Irrelevant,Nice to have,Nice to have,,,
,,,,,,,,,,,,18,18,3,19,18,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,14,15,16,9,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,8,3,4,11,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,9,0,5,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,0,3,0,2,6,,,,,,,,,,,,,,,
